Query,Time,Value,Unit
"text=""actor"" AND channel=""FOX""",4/1/2012,70,seconds
"text=""actor"" AND channel=""FOX""",5/1/2012,154.787,seconds
"text=""actor"" AND channel=""FOX""",6/1/2012,79.369,seconds
"text=""actor"" AND channel=""FOX""",7/1/2012,138.963,seconds
"text=""actor"" AND channel=""FOX""",8/1/2012,99.86,seconds
"text=""actor"" AND channel=""FOX""",9/1/2012,64,seconds
"text=""actor"" AND channel=""FOX""",10/1/2012,86.507,seconds
"text=""actor"" AND channel=""FOX""",11/1/2012,91,seconds
"text=""actor"" AND channel=""FOX""",12/1/2012,107.98,seconds
"text=""actor"" AND channel=""FOX""",1/1/2013,131.727,seconds
"text=""actor"" AND channel=""FOX""",2/1/2013,131.09,seconds
"text=""actor"" AND channel=""FOX""",3/1/2013,118,seconds
"text=""actor"" AND channel=""FOX""",4/1/2013,73.568,seconds
"text=""actor"" AND channel=""FOX""",5/1/2013,49.95,seconds
"text=""actor"" AND channel=""FOX""",6/1/2013,160.287,seconds
"text=""actor"" AND channel=""FOX""",7/1/2013,163.736,seconds
"text=""actor"" AND channel=""FOX""",8/1/2013,146.375,seconds
"text=""actor"" AND channel=""FOX""",9/1/2013,89,seconds
"text=""actor"" AND channel=""FOX""",10/1/2013,117,seconds
"text=""actor"" AND channel=""FOX""",11/1/2013,126.078,seconds
"text=""actor"" AND channel=""FOX""",12/1/2013,173.304,seconds
"text=""actor"" AND channel=""FOX""",1/1/2014,207.933,seconds
"text=""actor"" AND channel=""FOX""",2/1/2014,274.575,seconds
"text=""actor"" AND channel=""FOX""",3/1/2014,151.035,seconds
"text=""actor"" AND channel=""FOX""",4/1/2014,129,seconds
"text=""actor"" AND channel=""FOX""",5/1/2014,122.819,seconds
"text=""actor"" AND channel=""FOX""",6/1/2014,186.19,seconds
"text=""actor"" AND channel=""FOX""",7/1/2014,130.361,seconds
"text=""actor"" AND channel=""FOX""",8/1/2014,224.016,seconds
"text=""actor"" AND channel=""FOX""",9/1/2014,64.645,seconds
"text=""actor"" AND channel=""FOX""",10/1/2014,93.646,seconds
"text=""actor"" AND channel=""FOX""",11/1/2014,78,seconds
"text=""actor"" AND channel=""FOX""",12/1/2014,168.698,seconds
"text=""actor"" AND channel=""FOX""",1/1/2015,206.703,seconds
"text=""actor"" AND channel=""FOX""",2/1/2015,171.696,seconds
"text=""actor"" AND channel=""FOX""",3/1/2015,112,seconds
"text=""actor"" AND channel=""FOX""",4/1/2015,109.679,seconds
"text=""actor"" AND channel=""FOX""",5/1/2015,64,seconds
"text=""actor"" AND channel=""FOX""",6/1/2015,82.163,seconds
"text=""actor"" AND channel=""FOX""",7/1/2015,90,seconds
"text=""actor"" AND channel=""FOX""",8/1/2015,54.794,seconds
"text=""actor"" AND channel=""FOX""",9/1/2015,104.681,seconds
"text=""actor"" AND channel=""FOX""",10/1/2015,141.111,seconds
"text=""actor"" AND channel=""FOX""",11/1/2015,75,seconds
"text=""actor"" AND channel=""FOX""",12/1/2015,79,seconds
"text=""actor"" AND channel=""FOX""",1/1/2016,216.357,seconds
"text=""actor"" AND channel=""FOX""",2/1/2016,119.668,seconds
"text=""actor"" AND channel=""FOX""",3/1/2016,108,seconds
"text=""actor"" AND channel=""FOX""",4/1/2016,94,seconds
"text=""actor"" AND channel=""FOX""",5/1/2016,150,seconds
"text=""actor"" AND channel=""FOX""",6/1/2016,81,seconds
"text=""actor"" AND channel=""FOX""",7/1/2016,59.77,seconds
"text=""actor"" AND channel=""FOX""",8/1/2016,125,seconds
"text=""actor"" AND channel=""FOX""",9/1/2016,101,seconds
"text=""actor"" AND channel=""FOX""",10/1/2016,65,seconds
"text=""actor"" AND channel=""FOX""",11/1/2016,132.644,seconds
"text=""actor"" AND channel=""FOX""",12/1/2016,123,seconds
"text=""actor"" AND channel=""FOX""",1/1/2017,180.986,seconds
"text=""actor"" AND channel=""FOX""",2/1/2017,96,seconds
"text=""actor"" AND channel=""FOX""",3/1/2017,67,seconds
"text=""actor"" AND channel=""FOX""",4/1/2017,111.719,seconds
"text=""actor"" AND channel=""FOX""",5/1/2017,58,seconds
"text=""actor"" AND channel=""FOX""",6/1/2017,207.585,seconds
"text=""actor"" AND channel=""FOX""",7/1/2017,116.757,seconds
"text=""actor"" AND channel=""FOX""",8/1/2017,84,seconds
"text=""actor"" AND channel=""FOX""",9/1/2017,65,seconds
"text=""actor"" AND channel=""FOX""",10/1/2017,127.851,seconds
"text=""actor"" AND channel=""FOX""",11/1/2017,77,seconds
"text=""actor"" AND channel=""FOX""",12/1/2017,86,seconds
"text=""actor"" AND channel=""FOX""",1/1/2018,120,seconds
"text=""actor"" AND channel=""FOX""",2/1/2018,115,seconds
"text=""actor"" AND channel=""FOX""",3/1/2018,185.824,seconds
"text=""actor"" AND channel=""FOX""",4/1/2018,125,seconds
"text=""actor"" AND channel=""FOX""",5/1/2018,85,seconds
"text=""actor"" AND channel=""FOX""",6/1/2018,146,seconds
"text=""actor"" AND channel=""FOX""",7/1/2018,149.822,seconds
"text=""actor"" AND channel=""FOX""",8/1/2018,85.85,seconds
"text=""actor"" AND channel=""FOX""",9/1/2018,114,seconds
"text=""actor"" AND channel=""FOX""",10/1/2018,133.697,seconds
"text=""actor"" AND channel=""FOX""",11/1/2018,63,seconds
"text=""actor"" AND channel=""FOX""",12/1/2018,108,seconds
"text=""actor"" AND channel=""FOX""",1/1/2019,150,seconds
"text=""actor"" AND channel=""FOX""",2/1/2019,503.69,seconds
"text=""actor"" AND channel=""FOX""",3/1/2019,346.827,seconds
"text=""actor"" AND channel=""FOX""",4/1/2019,217.92,seconds
"text=""actor"" AND channel=""FOX""",5/1/2019,195.421,seconds
"text=""actor"" AND channel=""FOX""",6/1/2019,194.316,seconds
"text=""actor"" AND channel=""FOX""",7/1/2019,117.502,seconds
"text=""actor"" AND channel=""FOX""",8/1/2019,115.348,seconds
"text=""actor"" AND channel=""FOX""",9/1/2019,127.997,seconds
"text=""actor"" AND channel=""FOX""",10/1/2019,137,seconds
"text=""actor"" AND channel=""FOX""",11/1/2019,76,seconds
"text=""actor"" AND channel=""FOX""",12/1/2019,109.78,seconds
"text=""actor"" AND channel=""FOX""",1/1/2020,138.738,seconds
"text=""actor"" AND channel=""FOX""",2/1/2020,103.003,seconds
"text=""actor"" AND channel=""FOX""",3/1/2020,59,seconds
"text=""actor"" AND channel=""FOX""",4/1/2020,53.782,seconds
"text=""actor"" AND channel=""FOX""",5/1/2020,92.6,seconds
"text=""actor"" AND channel=""FOX""",6/1/2020,38,seconds
"text=""actor"" AND channel=""FOX""",7/1/2020,55,seconds
"text=""actor"" AND channel=""FOX""",8/1/2020,42,seconds
"text=""actor"" AND channel=""FOX""",9/1/2020,75,seconds
"text=""actor"" AND channel=""FOX""",10/1/2020,51,seconds
"text=""actor"" AND channel=""FOX""",11/1/2020,55,seconds
"text=""actor"" AND channel=""FOX""",12/1/2020,148.692,seconds
"text=""actor"" AND channel=""FOX""",1/1/2021,65,seconds
"text=""actor"" AND channel=""FOX""",2/1/2021,82,seconds
"text=""actor"" AND channel=""FOX""",3/1/2021,55,seconds
"text=""actor"" AND channel=""FOX""",4/1/2021,89.004,seconds
"text=""actor"" AND channel=""FOX""",5/1/2021,102,seconds
"text=""actor"" AND channel=""FOX""",6/1/2021,76,seconds
"text=""actor"" AND channel=""FOX""",7/1/2021,104,seconds
"text=""actor"" AND channel=""FOX""",8/1/2021,39,seconds
"text=""actor"" AND channel=""FOX""",9/1/2021,37,seconds
"text=""actress"" AND channel=""CNN""",1/1/2010,53,seconds
"text=""actress"" AND channel=""CNN""",2/1/2010,24,seconds
"text=""actress"" AND channel=""CNN""",3/1/2010,83,seconds
"text=""actress"" AND channel=""CNN""",4/1/2010,37,seconds
"text=""actress"" AND channel=""CNN""",5/1/2010,51,seconds
"text=""actress"" AND channel=""CNN""",6/1/2010,7,seconds
"text=""actress"" AND channel=""CNN""",7/1/2010,66,seconds
"text=""actress"" AND channel=""CNN""",8/1/2010,83,seconds
"text=""actress"" AND channel=""CNN""",9/1/2010,68.736,seconds
"text=""actress"" AND channel=""CNN""",10/1/2010,117.916,seconds
"text=""actress"" AND channel=""CNN""",11/1/2010,80,seconds
"text=""actress"" AND channel=""CNN""",12/1/2010,148.67,seconds
"text=""actress"" AND channel=""CNN""",1/1/2011,129.684,seconds
"text=""actress"" AND channel=""CNN""",2/1/2011,151,seconds
"text=""actress"" AND channel=""CNN""",3/1/2011,192.865,seconds
"text=""actress"" AND channel=""CNN""",4/1/2011,124.691,seconds
"text=""actress"" AND channel=""CNN""",5/1/2011,32,seconds
"text=""actress"" AND channel=""CNN""",6/1/2011,132,seconds
"text=""actress"" AND channel=""CNN""",7/1/2011,141.783,seconds
"text=""actress"" AND channel=""CNN""",8/1/2011,65,seconds
"text=""actress"" AND channel=""CNN""",9/1/2011,88.436,seconds
"text=""actress"" AND channel=""CNN""",10/1/2011,61.786,seconds
"text=""actress"" AND channel=""CNN""",11/1/2011,112.978,seconds
"text=""actress"" AND channel=""CNN""",12/1/2011,125.635,seconds
"text=""actress"" AND channel=""CNN""",1/1/2012,99.304,seconds
"text=""actress"" AND channel=""CNN""",2/1/2012,104.32,seconds
"text=""actress"" AND channel=""CNN""",3/1/2012,86,seconds
"text=""actress"" AND channel=""CNN""",4/1/2012,86.691,seconds
"text=""actress"" AND channel=""CNN""",5/1/2012,78,seconds
"text=""actress"" AND channel=""CNN""",6/1/2012,66,seconds
"text=""actress"" AND channel=""CNN""",7/1/2012,85,seconds
"text=""actress"" AND channel=""CNN""",8/1/2012,42,seconds
"text=""actress"" AND channel=""CNN""",9/1/2012,77.787,seconds
"text=""actress"" AND channel=""CNN""",10/1/2012,70.737,seconds
"text=""actress"" AND channel=""CNN""",11/1/2012,39.768,seconds
"text=""actress"" AND channel=""CNN""",12/1/2012,70.24,seconds
"text=""actress"" AND channel=""CNN""",1/1/2013,162.902,seconds
"text=""actress"" AND channel=""CNN""",2/1/2013,174.738,seconds
"text=""actress"" AND channel=""CNN""",3/1/2013,131.825,seconds
"text=""actress"" AND channel=""CNN""",4/1/2013,62.731,seconds
"text=""actress"" AND channel=""CNN""",5/1/2013,123.472,seconds
"text=""actress"" AND channel=""CNN""",6/1/2013,126.161,seconds
"text=""actress"" AND channel=""CNN""",7/1/2013,51.688,seconds
"text=""actress"" AND channel=""CNN""",8/1/2013,79.064,seconds
"text=""actress"" AND channel=""CNN""",9/1/2013,38.752,seconds
"text=""actress"" AND channel=""CNN""",10/1/2013,46.606,seconds
"text=""actress"" AND channel=""CNN""",11/1/2013,79.636,seconds
"text=""actress"" AND channel=""CNN""",12/1/2013,79,seconds
"text=""actress"" AND channel=""CNN""",1/1/2014,156.57,seconds
"text=""actress"" AND channel=""CNN""",2/1/2014,105,seconds
"text=""actress"" AND channel=""CNN""",3/1/2014,57,seconds
"text=""actress"" AND channel=""CNN""",4/1/2014,13,seconds
"text=""actress"" AND channel=""CNN""",5/1/2014,39,seconds
"text=""actress"" AND channel=""CNN""",6/1/2014,27.755,seconds
"text=""actress"" AND channel=""CNN""",7/1/2014,17.108,seconds
"text=""actress"" AND channel=""CNN""",8/1/2014,47.71,seconds
"text=""actress"" AND channel=""CNN""",9/1/2014,71,seconds
"text=""actress"" AND channel=""CNN""",10/1/2014,37,seconds
"text=""actress"" AND channel=""CNN""",11/1/2014,70,seconds
"text=""actress"" AND channel=""CNN""",12/1/2014,56.974,seconds
"text=""actress"" AND channel=""CNN""",1/1/2015,31,seconds
"text=""actress"" AND channel=""CNN""",2/1/2015,122,seconds
"text=""actress"" AND channel=""CNN""",3/1/2015,20,seconds
"text=""actress"" AND channel=""CNN""",4/1/2015,28.713,seconds
"text=""actress"" AND channel=""CNN""",5/1/2015,25,seconds
"text=""actress"" AND channel=""CNN""",6/1/2015,12,seconds
"text=""actress"" AND channel=""CNN""",7/1/2015,42,seconds
"text=""actress"" AND channel=""CNN""",8/1/2015,26,seconds
"text=""actress"" AND channel=""CNN""",9/1/2015,29,seconds
"text=""actress"" AND channel=""CNN""",10/1/2015,24.706,seconds
"text=""actress"" AND channel=""CNN""",11/1/2015,5,seconds
"text=""actress"" AND channel=""CNN""",12/1/2015,23,seconds
"text=""actress"" AND channel=""CNN""",1/1/2016,215.89,seconds
"text=""actress"" AND channel=""CNN""",2/1/2016,98,seconds
