workerid,proliferate.condition,gender,gendered_morph,id,neutral_morh,orthog,response,scale,slide_number_in_experiment,error
96,Comprehensive,male,suffix,Sorcerer,male_adoption,sorcerer,5,MF,16,
96,Comprehensive,male,man_woman,Craftsperson,person_compound,craftsman,4,MF,17,
96,Comprehensive,neutral,suffix,Actor,male_adoption,actor,4,MF,18,
96,Comprehensive,female,suffix,Hunter,male_adoption,huntress,6,MF,19,
96,Comprehensive,female,man_woman,Door_attendant,neutral_compound,doorwoman,7,MF,20,
96,Comprehensive,neutral,man_woman,Foreperson,person_compound,foreperson,4,MF,21,
96,Comprehensive,female,man_woman,Fisher,clipping,fisherwoman,7,MF,22,
96,Comprehensive,neutral,boy_girl,Paper_carrier,neutral_compound,paper carrier,4,MF,23,
96,Comprehensive,female,suffix,Host,male_adoption,hostess,7,MF,24,
96,Comprehensive,male,man_woman,Anchor,clipping,anchorman,1,MF,25,
96,Comprehensive,female,man_woman,Salesperson,person_compound,saleswoman,7,MF,26,
96,Comprehensive,female,man_woman,Police_officer,neutral_compound,policewoman,7,MF,27,
96,Comprehensive,neutral,gender_compound,Proprieter,suppletion,proprieter,4,MF,28,
96,Comprehensive,male,man_woman,Firefighter,neutral_compound,fireman,3,MF,29,
96,Comprehensive,neutral,man_woman,Mail_Carrier,neutral_compound,mail carrier,4,MF,30,
96,Comprehensive,neutral,suffix,Restaurant_server,suppletion,restaurant server,4,MF,31,
96,Comprehensive,male,man_woman,Assemblyperson,person_compound,assemblyman,2,MF,32,
96,Comprehensive,male,gender_compound,Headteacher,neutral_compound,headmaster,2,MF,33,
96,Comprehensive,neutral,suffix,Usher,male_adoption,usher,4,MF,34,
96,Comprehensive,neutral,man_woman,Congressperson,person_compound,congressperson,4,MF,35,
96,Comprehensive,male,man_woman,Chair,clipping,chairman,3,MF,36,
96,Comprehensive,neutral,gender_compound,Bartender,neutral_compound,bartender,4,MF,37,
96,Comprehensive,female,man_woman,Stunt_double,neutral_compound,stuntwoman,7,MF,38,
96,Comprehensive,male,man_woman,Camera,neutral_compound,cameraman,2,MF,39,
96,Comprehensive,male,suffix,Hero,male_adoption,hero,2,MF,40,
96,Comprehensive,male,suffix,Heir,male_adoption,heir,4,MF,41,
96,Comprehensive,male,man_woman,Businessperson,person_compound,businessman,2,MF,42,
41,Comprehensive,,,example1,,,4,,2,
41,Comprehensive,female,man_woman,Anchor,clipping,anchorwoman,7,MF,4,
41,Comprehensive,neutral,suffix,Hunter,male_adoption,hunter,1,MF,5,
41,Comprehensive,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,6,
41,Comprehensive,neutral,man_woman,Stunt_double,neutral_compound,stunt double,3,MF,7,
41,Comprehensive,male,man_woman,Crewmember,neutral_compound,crewman,4,MF,8,
41,Comprehensive,neutral,man_woman,Craftsperson,person_compound,craftsperson,4,MF,9,
41,Comprehensive,neutral,man_woman,Congressperson,person_compound,congressperson,4,MF,10,
41,Comprehensive,male,man_woman,Garbage_Collector,neutral_compound,garbageman,2,MF,11,
41,Comprehensive,neutral,boy_girl,Newsboy,male_adoption,newsboy,2,MF,12,
41,Comprehensive,male,gender_compound,Proprieter,suppletion,landlord,4,MF,13,
41,Comprehensive,male,man_woman,Camera,neutral_compound,cameraman,4,MF,14,
41,Comprehensive,male,man_woman,Mail_Carrier,neutral_compound,mailman,4,MF,15,
41,Comprehensive,male,man_woman,God,male_adoption,god,3,MF,16,
41,Comprehensive,male,man_woman,Assemblyperson,person_compound,assemblyman,4,MF,17,
41,Comprehensive,female,man_woman,Firefighter,neutral_compound,firewoman,7,MF,18,
41,Comprehensive,neutral,man_woman,Gentleperson,person_compound,gentleperson,4,MF,19,
41,Comprehensive,neutral,suffix,Emperor,male_adoption,emperor,3,MF,20,
41,Comprehensive,male,gender_compound,Bartender,neutral_compound,barman,1,MF,21,
41,Comprehensive,female,suffix,Host,male_adoption,hostess,7,MF,22,
41,Comprehensive,female,man_woman,Fisher,clipping,fisherwoman,7,MF,23,
41,Comprehensive,neutral,suffix,Heir,male_adoption,heir,4,MF,24,
41,Comprehensive,neutral,man_woman,Police_officer,neutral_compound,police officer,4,MF,25,
41,Comprehensive,male,man_woman,Salesperson,person_compound,salesman,1,MF,26,
41,Comprehensive,female,man_woman,Layperson,person_compound,laywoman,7,MF,27,
41,Comprehensive,neutral,man_woman,Foreperson,person_compound,foreperson,4,MF,28,
41,Comprehensive,male,man_woman,Horseperson,person_compound,horseman,1,MF,29,
41,Comprehensive,female,suffix,Flight_attendant,suppletion,airline stewardess,7,MF,30,
41,Comprehensive,female,suffix,Hero,male_adoption,heroine,7,MF,31,
41,Comprehensive,female,suffix,Restaurant_server,suppletion,waitress,7,MF,32,
41,Comprehensive,female,man_woman,Meteorologist,suppletion,weatherwoman,7,MF,33,
41,Comprehensive,female,man_woman,Door_attendant,neutral_compound,doorwoman,7,MF,34,
41,Comprehensive,neutral,suffix,Sorcerer,male_adoption,sorcerer,1,MF,35,
41,Comprehensive,female,suffix,Villain,male_adoption,villainess,7,MF,36,
41,Comprehensive,male,suffix,Actor,male_adoption,actor,3,MF,37,
41,Comprehensive,male,boy_girl,Paper_carrier,neutral_compound,paperboy,1,MF,38,
41,Comprehensive,neutral,man_woman,Chair,clipping,board chair,4,MF,39,
41,Comprehensive,female,suffix,Usher,male_adoption,usherette,7,MF,40,
41,Comprehensive,male,man_woman,Maintenance_Person,person_compound,handyman,1,MF,41,
41,Comprehensive,neutral,man_woman,Businessperson,person_compound,businessperson,4,MF,42,
73,Comprehensive,,,example1,,,6,,2,
73,Comprehensive,neutral,suffix,Heir,male_adoption,heir,3,MF,4,
73,Comprehensive,male,suffix,Hero,male_adoption,hero,4,MF,5,
73,Comprehensive,male,suffix,Hunter,male_adoption,hunter,2,MF,6,
73,Comprehensive,neutral,man_woman,Stunt_double,neutral_compound,stunt double,4,MF,7,
73,Comprehensive,female,gender_compound,Headteacher,neutral_compound,headmistress,7,MF,8,
73,Comprehensive,male,man_woman,Gentleperson,person_compound,gentleman,1,MF,9,
73,Comprehensive,female,man_woman,Camera,neutral_compound,camerawoman,7,MF,10,
73,Comprehensive,neutral,man_woman,Salesperson,person_compound,salesperson,3,MF,11,
73,Comprehensive,male,suffix,Sorcerer,male_adoption,sorcerer,3,MF,12,
73,Comprehensive,female,man_woman,Meteorologist,suppletion,weatherwoman,7,MF,13,
73,Comprehensive,male,gender_compound,Bartender,neutral_compound,barman,1,MF,14,
73,Comprehensive,neutral,suffix,Actor,male_adoption,actor,4,MF,15,
73,Comprehensive,male,suffix,Villain,male_adoption,villain,4,MF,16,
73,Comprehensive,male,man_woman,Mail_Carrier,neutral_compound,mailman,1,MF,17,
73,Comprehensive,male,man_woman,Businessperson,person_compound,businessman,1,MF,18,
73,Comprehensive,male,man_woman,Chair,clipping,chairman,4,MF,19,
73,Comprehensive,female,gender_compound,Proprieter,suppletion,landlady,7,MF,20,
73,Comprehensive,female,suffix,Emperor,male_adoption,empress,7,MF,21,
73,Comprehensive,neutral,man_woman,Craftsperson,person_compound,craftsperson,4,MF,22,
73,Comprehensive,female,man_woman,Fisher,clipping,fisherwoman,7,MF,23,
73,Comprehensive,neutral,man_woman,God,male_adoption,god,4,MF,24,
73,Comprehensive,female,man_woman,Foreperson,person_compound,forewoman,7,MF,25,
73,Comprehensive,female,suffix,Restaurant_server,suppletion,waitress,7,MF,26,
73,Comprehensive,female,boy_girl,Paper_carrier,neutral_compound,papergirl,7,MF,27,
73,Comprehensive,female,man_woman,Anchor,clipping,anchorwoman,7,MF,28,
73,Comprehensive,male,man_woman,Garbage_Collector,neutral_compound,garbageman,1,MF,29,
73,Comprehensive,male,man_woman,Congressperson,person_compound,congressman,1,MF,30,
73,Comprehensive,female,man_woman,Crewmember,neutral_compound,crewwoman,7,MF,31,
73,Comprehensive,neutral,man_woman,Door_attendant,neutral_compound,door attendant,4,MF,32,
73,Comprehensive,neutral,man_woman,Layperson,person_compound,layperson,4,MF,33,
73,Comprehensive,neutral,boy_girl,Newsboy,male_adoption,newsboy,1,MF,34,
